Concurso,Data,D/SEMAN,1º PRÊMIO,S 1º,MC 1º,MC P/I 1º,P/I 1º,D 1º,D P/I 1º,GP 1º,GP P/I 1º,BICHO 1º,2º PRÊMIO,S 2º,MC 2º,MC P/I 2º,P/I 2º,D 2º,D P/I 2º,GP 2º,GP P/I 2º,BICHO 2º,3º PRÊMIO,S 3º,MC 3º,MC P/I 3º,P/I 3º,D 3º,D P/I 3º,GP 3º,GP P/I 3º,BICHO 3º,4º PRÊMIO,S 4º,MC 4º,MC P/I 4º,P/I 4º,D 4º,D P/I 4º,GP 4º,GP P/I 4º,BICHO 4º,5º PRÊMIO,S 5º,MC 5º,MC P/I 5º,P/I 5º,D 5º,D P/I 5º,GP 5º,GP P/I 5º,BICHO 5º
2693,1991-03-27,quarta-feira,7274,"[7,2,7,4]",72,"[I,P]","[I,P,I,P]",74,"[I,P]",19,IMPAR,PAVÃO,7361,"[7,3,6,1]",73,"[I,I]","[I,I,P,I]",61,"[P,I]",16,PAR,LEÃO,9176,"[9,1,7,6]",91,"[I,I]","[I,I,I,P]",76,"[I,P]",19,IMPAR,PAVÃO,8415,"[8,4,1,5]",84,"[P,P]","[P,P,I,I]",15,"[I,I]",04,PAR,BORBOLETA,1602,"[1,6,0,2]",16,"[I,P]","[I,P,P,P]",02,"[P,P]",01,IMPAR,AVESTRUZ
2694,1991-04-03,quarta-feira,93,"[0,0,9,3]",00,"[P,P]","[P,P,I,I]",93,"[I,I]",24,PAR,VEADO,8754,"[8,7,5,4]",87,"[P,I]","[P,I,I,P]",54,"[I,P]",14,PAR,GATO,1410,"[1,4,1,0]",14,"[I,P]","[I,P,I,P]",10,"[I,P]",03,IMPAR,BURRO,550,"[0,5,5,0]",05,"[P,I]","[P,I,I,P]",50,"[I,P]",13,IMPAR,GALO,790,"[0,7,9,0]",07,"[P,I]","[P,I,I,P]",90,"[I,P]",23,IMPAR,URSO
2695,1991-04-06,sábado,4100,"[4,1,0,0]",41,"[P,I]","[P,I,P,P]",00,"[P,P]",00,PAR,VACA,4371,"[4,3,7,1]",43,"[P,I]","[P,I,I,I]",71,"[I,I]",18,PAR,PORCO,2767,"[2,7,6,7]",27,"[P,I]","[P,I,P,I]",67,"[P,I]",17,IMPAR,MACACO,3764,"[3,7,6,4]",37,"[I,I]","[I,I,P,P]",64,"[P,P]",16,PAR,LEÃO,4908,"[4,9,0,8]",49,"[P,I]","[P,I,P,P]",08,"[P,P]",02,PAR,ÁGUIA
2696,1991-04-10,quarta-feira,9730,"[9,7,3,0]",97,"[I,I]","[I,I,I,P]",30,"[I,P]",08,PAR,CAMELO,161,"[0,1,6,1]",01,"[P,I]","[P,I,P,I]",61,"[P,I]",16,PAR,LEÃO,4888,"[4,8,8,8]",48,"[P,P]","[P,P,P,P]",88,"[P,P]",22,PAR,TIGRE,4392,"[4,3,9,2]",43,"[P,I]","[P,I,I,P]",92,"[I,P]",23,IMPAR,URSO,3356,"[3,3,5,6]",33,"[I,I]","[I,I,I,P]",56,"[I,P]",14,PAR,GATO
2697,1991-04-13,sábado,7906,"[7,9,0,6]",79,"[I,I]","[I,I,P,P]",06,"[P,P]",02,PAR,ÁGUIA,5630,"[5,6,3,0]",56,"[I,P]","[I,P,I,P]",30,"[I,P]",08,PAR,CAMELO,5273,"[5,2,7,3]",52,"[I,P]","[I,P,I,I]",73,"[I,I]",19,IMPAR,PAVÃO,3971,"[3,9,7,1]",39,"[I,I]","[I,I,I,I]",71,"[I,I]",18,PAR,PORCO,5361,"[5,3,6,1]",53,"[I,I]","[I,I,P,I]",61,"[P,I]",16,PAR,LEÃO
2698,1991-04-17,quarta-feira,7140,"[7,1,4,0]",71,"[I,I]","[I,I,P,P]",40,"[P,P]",10,PAR,COELHO,5617,"[5,6,1,7]",56,"[I,P]","[I,P,I,I]",17,"[I,I]",05,IMPAR,CACHORRO,6261,"[6,2,6,1]",62,"[P,P]","[P,P,P,I]",61,"[P,I]",16,PAR,LEÃO,9692,"[9,6,9,2]",96,"[I,P]","[I,P,I,P]",92,"[I,P]",23,IMPAR,URSO,5909,"[5,9,0,9]",59,"[I,I]","[I,I,P,I]",09,"[P,I]",03,IMPAR,BURRO
2699,1991-04-20,sábado,4175,"[4,1,7,5]",41,"[P,I]","[P,I,I,I]",75,"[I,I]",19,IMPAR,PAVÃO,7845,"[7,8,4,5]",78,"[I,P]","[I,P,P,I]",45,"[P,I]",12,PAR,ELEFANTE,3118,"[3,1,1,8]",31,"[I,I]","[I,I,I,P]",18,"[I,P]",05,IMPAR,CACHORRO,2641,"[2,6,4,1]",26,"[P,P]","[P,P,P,I]",41,"[P,I]",11,IMPAR,CAVALO,9526,"[9,5,2,6]",95,"[I,I]","[I,I,P,P]",26,"[P,P]",07,IMPAR,CARNEIRO
2700,1991-04-24,quarta-feira,8682,"[8,6,8,2]",86,"[P,P]","[P,P,P,P]",82,"[P,P]",21,IMPAR,TOURO,6215,"[6,2,1,5]",62,"[P,P]","[P,P,I,I]",15,"[I,I]",04,PAR,BORBOLETA,643,"[0,6,4,3]",06,"[P,P]","[P,P,P,I]",43,"[P,I]",11,IMPAR,CAVALO,5870,"[5,8,7,0]",58,"[I,P]","[I,P,I,P]",70,"[I,P]",18,PAR,PORCO,244,"[0,2,4,4]",02,"[P,P]","[P,P,P,P]",44,"[P,P]",11,IMPAR,CAVALO
2701,1991-04-27,sábado,3478,"[3,4,7,8]",34,"[I,P]","[I,P,I,P]",78,"[I,P]",20,PAR,PERU,6386,"[6,3,8,6]",63,"[P,I]","[P,I,P,P]",86,"[P,P]",22,PAR,TIGRE,3793,"[3,7,9,3]",37,"[I,I]","[I,I,I,I]",93,"[I,I]",24,PAR,VEADO,150,"[0,1,5,0]",01,"[P,I]","[P,I,I,P]",50,"[I,P]",13,IMPAR,GALO,3664,"[3,6,6,4]",36,"[I,P]","[I,P,P,P]",64,"[P,P]",16,PAR,LEÃO
2702,1991-05-04,sábado,1830,"[1,8,3,0]",18,"[I,P]","[I,P,I,P]",30,"[I,P]",08,PAR,CAMELO,9533,"[9,5,3,3]",95,"[I,I]","[I,I,I,I]",33,"[I,I]",09,IMPAR,COBRA,8920,"[8,9,2,0]",89,"[P,I]","[P,I,P,P]",20,"[P,P]",05,IMPAR,CACHORRO,6436,"[6,4,3,6]",64,"[P,P]","[P,P,I,P]",36,"[I,P]",09,IMPAR,COBRA,2439,"[2,4,3,9]",24,"[P,P]","[P,P,I,I]",39,"[I,I]",10,PAR,COELHO
2703,1991-05-08,quarta-feira,1979,"[1,9,7,9]",19,"[I,I]","[I,I,I,I]",79,"[I,I]",20,PAR,PERU,2027,"[2,0,2,7]",20,"[P,P]","[P,P,P,I]",27,"[P,I]",07,IMPAR,CARNEIRO,6930,"[6,9,3,0]",69,"[P,I]","[P,I,I,P]",30,"[I,P]",08,PAR,CAMELO,1664,"[1,6,6,4]",16,"[I,P]","[I,P,P,P]",64,"[P,P]",16,PAR,LEÃO,1919,"[1,9,1,9]",19,"[I,I]","[I,I,I,I]",19,"[I,I]",05,IMPAR,CACHORRO
2704,1991-05-11,sábado,6586,"[6,5,8,6]",65,"[P,I]","[P,I,P,P]",86,"[P,P]",22,PAR,TIGRE,9339,"[9,3,3,9]",93,"[I,I]","[I,I,I,I]",39,"[I,I]",10,PAR,COELHO,8073,"[8,0,7,3]",80,"[P,P]","[P,P,I,I]",73,"[I,I]",19,IMPAR,PAVÃO,8529,"[8,5,2,9]",85,"[P,I]","[P,I,P,I]",29,"[P,I]",08,PAR,CAMELO,1185,"[1,1,8,5]",11,"[I,I]","[I,I,P,I]",85,"[P,I]",22,PAR,TIGRE
2705,1991-05-15,quarta-feira,406,"[0,4,0,6]",04,"[P,P]","[P,P,P,P]",06,"[P,P]",02,PAR,ÁGUIA,7875,"[7,8,7,5]",78,"[I,P]","[I,P,I,I]",75,"[I,I]",19,IMPAR,PAVÃO,1576,"[1,5,7,6]",15,"[I,I]","[I,I,I,P]",76,"[I,P]",19,IMPAR,PAVÃO,4307,"[4,3,0,7]",43,"[P,I]","[P,I,P,I]",07,"[P,I]",02,PAR,ÁGUIA,5260,"[5,2,6,0]",52,"[I,P]","[I,P,P,P]",60,"[P,P]",15,IMPAR,JACARÉ
2706,1991-05-18,sábado,7889,"[7,8,8,9]",78,"[I,P]","[I,P,P,I]",89,"[P,I]",23,IMPAR,URSO,2780,"[2,7,8,0]",27,"[P,I]","[P,I,P,P]",80,"[P,P]",20,PAR,PERU,5374,"[5,3,7,4]",53,"[I,I]","[I,I,I,P]",74,"[I,P]",19,IMPAR,PAVÃO,8893,"[8,8,9,3]",88,"[P,P]","[P,P,I,I]",93,"[I,I]",24,PAR,VEADO,5861,"[5,8,6,1]",58,"[I,P]","[I,P,P,I]",61,"[P,I]",16,PAR,LEÃO
2707,1991-05-22,quarta-feira,9458,"[9,4,5,8]",94,"[I,P]","[I,P,I,P]",58,"[I,P]",15,IMPAR,JACARÉ,9245,"[9,2,4,5]",92,"[I,P]","[I,P,P,I]",45,"[P,I]",12,PAR,ELEFANTE,7047,"[7,0,4,7]",70,"[I,P]","[I,P,P,I]",47,"[P,I]",12,PAR,ELEFANTE,8681,"[8,6,8,1]",86,"[P,P]","[P,P,P,I]",81,"[P,I]",21,IMPAR,TOURO,1579,"[1,5,7,9]",15,"[I,I]","[I,I,I,I]",79,"[I,I]",20,PAR,PERU
2708,1991-05-25,sábado,9500,"[9,5,0,0]",95,"[I,I]","[I,I,P,P]",00,"[P,P]",00,PAR,VACA,5649,"[5,6,4,9]",56,"[I,P]","[I,P,P,I]",49,"[P,I]",13,IMPAR,GALO,3969,"[3,9,6,9]",39,"[I,I]","[I,I,P,I]",69,"[P,I]",18,PAR,PORCO,3046,"[3,0,4,6]",30,"[I,P]","[I,P,P,P]",46,"[P,P]",12,PAR,ELEFANTE,1925,"[1,9,2,5]",19,"[I,I]","[I,I,P,I]",25,"[P,I]",07,IMPAR,CARNEIRO
2709,1991-06-01,sábado,6868,"[6,8,6,8]",68,"[P,P]","[P,P,P,P]",68,"[P,P]",17,IMPAR,MACACO,3973,"[3,9,7,3]",39,"[I,I]","[I,I,I,I]",73,"[I,I]",19,IMPAR,PAVÃO,6965,"[6,9,6,5]",69,"[P,I]","[P,I,P,I]",65,"[P,I]",17,IMPAR,MACACO,7937,"[7,9,3,7]",79,"[I,I]","[I,I,I,I]",37,"[I,I]",10,PAR,COELHO,1711,"[1,7,1,1]",17,"[I,I]","[I,I,I,I]",11,"[I,I]",03,IMPAR,BURRO
2710,1991-06-05,quarta-feira,1183,"[1,1,8,3]",11,"[I,I]","[I,I,P,I]",83,"[P,I]",21,IMPAR,TOURO,1959,"[1,9,5,9]",19,"[I,I]","[I,I,I,I]",59,"[I,I]",15,IMPAR,JACARÉ,2769,"[2,7,6,9]",27,"[P,I]","[P,I,P,I]",69,"[P,I]",18,PAR,PORCO,3258,"[3,2,5,8]",32,"[I,P]","[I,P,I,P]",58,"[I,P]",15,IMPAR,JACARÉ,7518,"[7,5,1,8]",75,"[I,I]","[I,I,I,P]",18,"[I,P]",05,IMPAR,CACHORRO
2711,1991-06-08,sábado,8228,"[8,2,2,8]",82,"[P,P]","[P,P,P,P]",28,"[P,P]",07,IMPAR,CARNEIRO,9599,"[9,5,9,9]",95,"[I,I]","[I,I,I,I]",99,"[I,I]",25,IMPAR,VACA,4418,"[4,4,1,8]",44,"[P,P]","[P,P,I,P]",18,"[I,P]",05,IMPAR,CACHORRO,8837,"[8,8,3,7]",88,"[P,P]","[P,P,I,I]",37,"[I,I]",10,PAR,COELHO,4111,"[4,1,1,1]",41,"[P,I]","[P,I,I,I]",11,"[I,I]",03,IMPAR,BURRO
2712,1991-06-12,quarta-feira,8931,"[8,9,3,1]",89,"[P,I]","[P,I,I,I]",31,"[I,I]",08,PAR,CAMELO,2038,"[2,0,3,8]",20,"[P,P]","[P,P,I,P]",38,"[I,P]",10,PAR,COELHO,6782,"[6,7,8,2]",67,"[P,I]","[P,I,P,P]",82,"[P,P]",21,IMPAR,TOURO,5316,"[5,3,1,6]",53,"[I,I]","[I,I,I,P]",16,"[I,P]",04,PAR,BORBOLETA,8393,"[8,3,9,3]",83,"[P,I]","[P,I,I,I]",93,"[I,I]",24,PAR,VEADO
2713,1991-06-15,sábado,1545,"[1,5,4,5]",15,"[I,I]","[I,I,P,I]",45,"[P,I]",12,PAR,ELEFANTE,7867,"[7,8,6,7]",78,"[I,P]","[I,P,P,I]",67,"[P,I]",17,IMPAR,MACACO,2108,"[2,1,0,8]",21,"[P,I]","[P,I,P,P]",08,"[P,P]",02,PAR,ÁGUIA,1914,"[1,9,1,4]",19,"[I,I]","[I,I,I,P]",14,"[I,P]",04,PAR,BORBOLETA,9277,"[9,2,7,7]",92,"[I,P]","[I,P,I,I]",77,"[I,I]",20,PAR,PERU
2714,1991-06-22,sábado,5521,"[5,5,2,1]",55,"[I,I]","[I,I,P,I]",21,"[P,I]",06,PAR,CABRA,4671,"[4,6,7,1]",46,"[P,P]","[P,P,I,I]",71,"[I,I]",18,PAR,PORCO,7231,"[7,2,3,1]",72,"[I,P]","[I,P,I,I]",31,"[I,I]",08,PAR,CAMELO,8515,"[8,5,1,5]",85,"[P,I]","[P,I,I,I]",15,"[I,I]",04,PAR,BORBOLETA,4690,"[4,6,9,0]",46,"[P,P]","[P,P,I,P]",90,"[I,P]",23,IMPAR,URSO
2715,1991-06-26,quarta-feira,9686,"[9,6,8,6]",96,"[I,P]","[I,P,P,P]",86,"[P,P]",22,PAR,TIGRE,2675,"[2,6,7,5]",26,"[P,P]","[P,P,I,I]",75,"[I,I]",19,IMPAR,PAVÃO,8052,"[8,0,5,2]",80,"[P,P]","[P,P,I,P]",52,"[I,P]",13,IMPAR,GALO,7292,"[7,2,9,2]",72,"[I,P]","[I,P,I,P]",92,"[I,P]",23,IMPAR,URSO,9592,"[9,5,9,2]",95,"[I,I]","[I,I,I,P]",92,"[I,P]",23,IMPAR,URSO
2716,1991-06-29,sábado,388,"[0,3,8,8]",03,"[P,I]","[P,I,P,P]",88,"[P,P]",22,PAR,TIGRE,2564,"[2,5,6,4]",25,"[P,I]","[P,I,P,P]",64,"[P,P]",16,PAR,LEÃO,1994,"[1,9,9,4]",19,"[I,I]","[I,I,I,P]",94,"[I,P]",24,PAR,VEADO,5436,"[5,4,3,6]",54,"[I,P]","[I,P,I,P]",36,"[I,P]",09,IMPAR,COBRA,770,"[0,7,7,0]",07,"[P,I]","[P,I,I,P]",70,"[I,P]",18,PAR,PORCO
2717,1991-07-06,sábado,2562,"[2,5,6,2]",25,"[P,I]","[P,I,P,P]",62,"[P,P]",16,PAR,LEÃO,3920,"[3,9,2,0]",39,"[I,I]","[I,I,P,P]",20,"[P,P]",05,IMPAR,CACHORRO,5100,"[5,1,0,0]",51,"[I,I]","[I,I,P,P]",00,"[P,P]",00,PAR,VACA,4289,"[4,2,8,9]",42,"[P,P]","[P,P,P,I]",89,"[P,I]",23,IMPAR,URSO,7419,"[7,4,1,9]",74,"[I,P]","[I,P,I,I]",19,"[I,I]",05,IMPAR,CACHORRO
2718,1991-07-10,quarta-feira,3419,"[3,4,1,9]",34,"[I,P]","[I,P,I,I]",19,"[I,I]",05,IMPAR,CACHORRO,8895,"[8,8,9,5]",88,"[P,P]","[P,P,I,I]",95,"[I,I]",24,PAR,VEADO,7252,"[7,2,5,2]",72,"[I,P]","[I,P,I,P]",52,"[I,P]",13,IMPAR,GALO,7639,"[7,6,3,9]",76,"[I,P]","[I,P,I,I]",39,"[I,I]",10,PAR,COELHO,4308,"[4,3,0,8]",43,"[P,I]","[P,I,P,P]",08,"[P,P]",02,PAR,ÁGUIA
2719,1991-07-13,sábado,8938,"[8,9,3,8]",89,"[P,I]","[P,I,I,P]",38,"[I,P]",10,PAR,COELHO,4576,"[4,5,7,6]",45,"[P,I]","[P,I,I,P]",76,"[I,P]",19,IMPAR,PAVÃO,4895,"[4,8,9,5]",48,"[P,P]","[P,P,I,I]",95,"[I,I]",24,PAR,VEADO,8478,"[8,4,7,8]",84,"[P,P]","[P,P,I,P]",78,"[I,P]",20,PAR,PERU,8127,"[8,1,2,7]",81,"[P,I]","[P,I,P,I]",27,"[P,I]",07,IMPAR,CARNEIRO
2720,1991-07-17,quarta-feira,3329,"[3,3,2,9]",33,"[I,I]","[I,I,P,I]",29,"[P,I]",08,PAR,CAMELO,2976,"[2,9,7,6]",29,"[P,I]","[P,I,I,P]",76,"[I,P]",19,IMPAR,PAVÃO,3669,"[3,6,6,9]",36,"[I,P]","[I,P,P,I]",69,"[P,I]",18,PAR,PORCO,2124,"[2,1,2,4]",21,"[P,I]","[P,I,P,P]",24,"[P,P]",06,PAR,CABRA,4154,"[4,1,5,4]",41,"[P,I]","[P,I,I,P]",54,"[I,P]",14,PAR,GATO
2721,1991-07-20,sábado,1307,"[1,3,0,7]",13,"[I,I]","[I,I,P,I]",07,"[P,I]",02,PAR,ÁGUIA,8549,"[8,5,4,9]",85,"[P,I]","[P,I,P,I]",49,"[P,I]",13,IMPAR,GALO,536,"[0,5,3,6]",05,"[P,I]","[P,I,I,P]",36,"[I,P]",09,IMPAR,COBRA,4384,"[4,3,8,4]",43,"[P,I]","[P,I,P,P]",84,"[P,P]",21,IMPAR,TOURO,3701,"[3,7,0,1]",37,"[I,I]","[I,I,P,I]",01,"[P,I]",01,IMPAR,AVESTRUZ
2722,1991-07-24,quarta-feira,1676,"[1,6,7,6]",16,"[I,P]","[I,P,I,P]",76,"[I,P]",19,IMPAR,PAVÃO,2887,"[2,8,8,7]",28,"[P,P]","[P,P,P,I]",87,"[P,I]",22,PAR,TIGRE,5084,"[5,0,8,4]",50,"[I,P]","[I,P,P,P]",84,"[P,P]",21,IMPAR,TOURO,7233,"[7,2,3,3]",72,"[I,P]","[I,P,I,I]",33,"[I,I]",09,IMPAR,COBRA,7368,"[7,3,6,8]",73,"[I,I]","[I,I,P,P]",68,"[P,P]",17,IMPAR,MACACO
2723,1991-07-27,sábado,5508,"[5,5,0,8]",55,"[I,I]","[I,I,P,P]",08,"[P,P]",02,PAR,ÁGUIA,1451,"[1,4,5,1]",14,"[I,P]","[I,P,I,I]",51,"[I,I]",13,IMPAR,GALO,5285,"[5,2,8,5]",52,"[I,P]","[I,P,P,I]",85,"[P,I]",22,PAR,TIGRE,4948,"[4,9,4,8]",49,"[P,I]","[P,I,P,P]",48,"[P,P]",12,PAR,ELEFANTE,2248,"[2,2,4,8]",22,"[P,P]","[P,P,P,P]",48,"[P,P]",12,PAR,ELEFANTE
2724,1991-07-31,quarta-feira,8297,"[8,2,9,7]",82,"[P,P]","[P,P,I,I]",97,"[I,I]",25,IMPAR,VACA,3642,"[3,6,4,2]",36,"[I,P]","[I,P,P,P]",42,"[P,P]",11,IMPAR,CAVALO,8548,"[8,5,4,8]",85,"[P,I]","[P,I,P,P]",48,"[P,P]",12,PAR,ELEFANTE,4258,"[4,2,5,8]",42,"[P,P]","[P,P,I,P]",58,"[I,P]",15,IMPAR,JACARÉ,9704,"[9,7,0,4]",97,"[I,I]","[I,I,P,P]",04,"[P,P]",01,IMPAR,AVESTRUZ
2725,1991-08-03,sábado,4190,"[4,1,9,0]",41,"[P,I]","[P,I,I,P]",90,"[I,P]",23,IMPAR,URSO,2540,"[2,5,4,0]",25,"[P,I]","[P,I,P,P]",40,"[P,P]",10,PAR,COELHO,1502,"[1,5,0,2]",15,"[I,I]","[I,I,P,P]",02,"[P,P]",01,IMPAR,AVESTRUZ,1111,"[1,1,1,1]",11,"[I,I]","[I,I,I,I]",11,"[I,I]",03,IMPAR,BURRO,2507,"[2,5,0,7]",25,"[P,I]","[P,I,P,I]",07,"[P,I]",02,PAR,ÁGUIA
2726,1991-08-07,quarta-feira,6778,"[6,7,7,8]",67,"[P,I]","[P,I,I,P]",78,"[I,P]",20,PAR,PERU,9917,"[9,9,1,7]",99,"[I,I]","[I,I,I,I]",17,"[I,I]",05,IMPAR,CACHORRO,6483,"[6,4,8,3]",64,"[P,P]","[P,P,P,I]",83,"[P,I]",21,IMPAR,TOURO,3778,"[3,7,7,8]",37,"[I,I]","[I,I,I,P]",78,"[I,P]",20,PAR,PERU,4590,"[4,5,9,0]",45,"[P,I]","[P,I,I,P]",90,"[I,P]",23,IMPAR,URSO
2727,1991-08-10,sábado,9868,"[9,8,6,8]",98,"[I,P]","[I,P,P,P]",68,"[P,P]",17,IMPAR,MACACO,1859,"[1,8,5,9]",18,"[I,P]","[I,P,I,I]",59,"[I,I]",15,IMPAR,JACARÉ,8042,"[8,0,4,2]",80,"[P,P]","[P,P,P,P]",42,"[P,P]",11,IMPAR,CAVALO,448,"[0,4,4,8]",04,"[P,P]","[P,P,P,P]",48,"[P,P]",12,PAR,ELEFANTE,3591,"[3,5,9,1]",35,"[I,I]","[I,I,I,I]",91,"[I,I]",23,IMPAR,URSO
2728,1991-08-14,quarta-feira,2213,"[2,2,1,3]",22,"[P,P]","[P,P,I,I]",13,"[I,I]",04,PAR,BORBOLETA,5800,"[5,8,0,0]",58,"[I,P]","[I,P,P,P]",00,"[P,P]",00,PAR,VACA,7621,"[7,6,2,1]",76,"[I,P]","[I,P,P,I]",21,"[P,I]",06,PAR,CABRA,8630,"[8,6,3,0]",86,"[P,P]","[P,P,I,P]",30,"[I,P]",08,PAR,CAMELO,795,"[0,7,9,5]",07,"[P,I]","[P,I,I,I]",95,"[I,I]",24,PAR,VEADO
2729,1991-08-17,sábado,4377,"[4,3,7,7]",43,"[P,I]","[P,I,I,I]",77,"[I,I]",20,PAR,PERU,4440,"[4,4,4,0]",44,"[P,P]","[P,P,P,P]",40,"[P,P]",10,PAR,COELHO,1266,"[1,2,6,6]",12,"[I,P]","[I,P,P,P]",66,"[P,P]",17,IMPAR,MACACO,3165,"[3,1,6,5]",31,"[I,I]","[I,I,P,I]",65,"[P,I]",17,IMPAR,MACACO,211,"[0,2,1,1]",02,"[P,P]","[P,P,I,I]",11,"[I,I]",03,IMPAR,BURRO
2730,1991-08-21,quarta-feira,9068,"[9,0,6,8]",90,"[I,P]","[I,P,P,P]",68,"[P,P]",17,IMPAR,MACACO,2225,"[2,2,2,5]",22,"[P,P]","[P,P,P,I]",25,"[P,I]",07,IMPAR,CARNEIRO,8162,"[8,1,6,2]",81,"[P,I]","[P,I,P,P]",62,"[P,P]",16,PAR,LEÃO,3370,"[3,3,7,0]",33,"[I,I]","[I,I,I,P]",70,"[I,P]",18,PAR,PORCO,915,"[0,9,1,5]",09,"[P,I]","[P,I,I,I]",15,"[I,I]",04,PAR,BORBOLETA
2731,1991-08-24,sábado,1371,"[1,3,7,1]",13,"[I,I]","[I,I,I,I]",71,"[I,I]",18,PAR,PORCO,735,"[0,7,3,5]",07,"[P,I]","[P,I,I,I]",35,"[I,I]",09,IMPAR,COBRA,9698,"[9,6,9,8]",96,"[I,P]","[I,P,I,P]",98,"[I,P]",25,IMPAR,VACA,7821,"[7,8,2,1]",78,"[I,P]","[I,P,P,I]",21,"[P,I]",06,PAR,CABRA,2635,"[2,6,3,5]",26,"[P,P]","[P,P,I,I]",35,"[I,I]",09,IMPAR,COBRA
2732,1991-08-28,quarta-feira,2395,"[2,3,9,5]",23,"[P,I]","[P,I,I,I]",95,"[I,I]",24,PAR,VEADO,7941,"[7,9,4,1]",79,"[I,I]","[I,I,P,I]",41,"[P,I]",11,IMPAR,CAVALO,9119,"[9,1,1,9]",91,"[I,I]","[I,I,I,I]",19,"[I,I]",05,IMPAR,CACHORRO,6306,"[6,3,0,6]",63,"[P,I]","[P,I,P,P]",06,"[P,P]",02,PAR,ÁGUIA,4961,"[4,9,6,1]",49,"[P,I]","[P,I,P,I]",61,"[P,I]",16,PAR,LEÃO
2733,1991-08-31,sábado,9471,"[9,4,7,1]",94,"[I,P]","[I,P,I,I]",71,"[I,I]",18,PAR,PORCO,269,"[0,2,6,9]",02,"[P,P]","[P,P,P,I]",69,"[P,I]",18,PAR,PORCO,2302,"[2,3,0,2]",23,"[P,I]","[P,I,P,P]",02,"[P,P]",01,IMPAR,AVESTRUZ,9475,"[9,4,7,5]",94,"[I,P]","[I,P,I,I]",75,"[I,I]",19,IMPAR,PAVÃO,7308,"[7,3,0,8]",73,"[I,I]","[I,I,P,P]",08,"[P,P]",02,PAR,ÁGUIA
2734,1991-09-04,quarta-feira,2068,"[2,0,6,8]",20,"[P,P]","[P,P,P,P]",68,"[P,P]",17,IMPAR,MACACO,2547,"[2,5,4,7]",25,"[P,I]","[P,I,P,I]",47,"[P,I]",12,PAR,ELEFANTE,6378,"[6,3,7,8]",63,"[P,I]","[P,I,I,P]",78,"[I,P]",20,PAR,PERU,1628,"[1,6,2,8]",16,"[I,P]","[I,P,P,P]",28,"[P,P]",07,IMPAR,CARNEIRO,5495,"[5,4,9,5]",54,"[I,P]","[I,P,I,I]",95,"[I,I]",24,PAR,VEADO
2735,1991-09-11,quarta-feira,5680,"[5,6,8,0]",56,"[I,P]","[I,P,P,P]",80,"[P,P]",20,PAR,PERU,4623,"[4,6,2,3]",46,"[P,P]","[P,P,P,I]",23,"[P,I]",06,PAR,CABRA,4543,"[4,5,4,3]",45,"[P,I]","[P,I,P,I]",43,"[P,I]",11,IMPAR,CAVALO,4963,"[4,9,6,3]",49,"[P,I]","[P,I,P,I]",63,"[P,I]",16,PAR,LEÃO,3641,"[3,6,4,1]",36,"[I,P]","[I,P,P,I]",41,"[P,I]",11,IMPAR,CAVALO
2736,1991-09-14,sábado,6553,"[6,5,5,3]",65,"[P,I]","[P,I,I,I]",53,"[I,I]",14,PAR,GATO,2668,"[2,6,6,8]",26,"[P,P]","[P,P,P,P]",68,"[P,P]",17,IMPAR,MACACO,9236,"[9,2,3,6]",92,"[I,P]","[I,P,I,P]",36,"[I,P]",09,IMPAR,COBRA,8253,"[8,2,5,3]",82,"[P,P]","[P,P,I,I]",53,"[I,I]",14,PAR,GATO,8791,"[8,7,9,1]",87,"[P,I]","[P,I,I,I]",91,"[I,I]",23,IMPAR,URSO
2737,1991-09-18,quarta-feira,1651,"[1,6,5,1]",16,"[I,P]","[I,P,I,I]",51,"[I,I]",13,IMPAR,GALO,8625,"[8,6,2,5]",86,"[P,P]","[P,P,P,I]",25,"[P,I]",07,IMPAR,CARNEIRO,708,"[0,7,0,8]",07,"[P,I]","[P,I,P,P]",08,"[P,P]",02,PAR,ÁGUIA,9370,"[9,3,7,0]",93,"[I,I]","[I,I,I,P]",70,"[I,P]",18,PAR,PORCO,1093,"[1,0,9,3]",10,"[I,P]","[I,P,I,I]",93,"[I,I]",24,PAR,VEADO
2738,1991-09-21,sábado,5179,"[5,1,7,9]",51,"[I,I]","[I,I,I,I]",79,"[I,I]",20,PAR,PERU,669,"[0,6,6,9]",06,"[P,P]","[P,P,P,I]",69,"[P,I]",18,PAR,PORCO,1223,"[1,2,2,3]",12,"[I,P]","[I,P,P,I]",23,"[P,I]",06,PAR,CABRA,3994,"[3,9,9,4]",39,"[I,I]","[I,I,I,P]",94,"[I,P]",24,PAR,VEADO,2376,"[2,3,7,6]",23,"[P,I]","[P,I,I,P]",76,"[I,P]",19,IMPAR,PAVÃO
2739,1991-09-25,quarta-feira,6919,"[6,9,1,9]",69,"[P,I]","[P,I,I,I]",19,"[I,I]",05,IMPAR,CACHORRO,4088,"[4,0,8,8]",40,"[P,P]","[P,P,P,P]",88,"[P,P]",22,PAR,TIGRE,322,"[0,3,2,2]",03,"[P,I]","[P,I,P,P]",22,"[P,P]",06,PAR,CABRA,1044,"[1,0,4,4]",10,"[I,P]","[I,P,P,P]",44,"[P,P]",11,IMPAR,CAVALO,9662,"[9,6,6,2]",96,"[I,P]","[I,P,P,P]",62,"[P,P]",16,PAR,LEÃO
